array_size,index,method,time,
500,5,unnested_loop,0.009245,
500,5,change_order_unnested_loop_merge_array,0.009572,
500,6,original,0.010879,
500,6,merge_array,0.011306,
500,6,change_order,0.010758,
500,6,change_order_merge_array,0.011225,
500,6,unnested_loop,0.009199,
500,6,change_order_unnested_loop_merge_array,0.009703,
500,7,original,0.010974,
500,7,merge_array,0.011255,
500,7,change_order,0.010787,
500,7,change_order_merge_array,0.011305,
500,7,unnested_loop,0.009204,
500,7,change_order_unnested_loop_merge_array,0.009518,
500,8,original,0.01099,
500,8,merge_array,0.012377,
500,8,change_order,0.01136,
500,8,change_order_merge_array,0.011776,
500,8,unnested_loop,0.009497,
500,8,change_order_unnested_loop_merge_array,0.009761,
500,9,original,0.011177,
500,9,merge_array,0.011449,
500,9,change_order,0.01096,
500,9,change_order_merge_array,0.011355,
500,9,unnested_loop,0.009414,
500,9,change_order_unnested_loop_merge_array,0.010011,
500,10,original,0.011097,
500,10,merge_array,0.011324,
500,10,change_order,0.010955,
500,10,change_order_merge_array,0.011286,
500,10,unnested_loop,0.009193,
500,10,change_order_unnested_loop_merge_array,0.009632,
500,11,original,0.011076,
500,11,merge_array,0.01125,
500,11,change_order,0.010756,
500,11,change_order_merge_array,0.011239,
500,11,unnested_loop,0.009199,
500,11,change_order_unnested_loop_merge_array,0.009565,
500,12,original,0.010949,
500,12,merge_array,0.011266,
500,12,change_order,0.010806,
500,12,change_order_merge_array,0.011334,
500,12,unnested_loop,0.00921,
500,12,change_order_unnested_loop_merge_array,0.009577,
500,13,original,0.010792,
500,13,merge_array,0.011251,
500,13,change_order,0.01074,
500,13,change_order_merge_array,0.011208,
500,13,unnested_loop,0.009206,
500,13,change_order_unnested_loop_merge_array,0.009595,
500,14,original,0.010931,
500,14,merge_array,0.011333,
500,14,change_order,0.01075,
500,14,change_order_merge_array,0.01117,
500,14,unnested_loop,0.009239,
500,14,change_order_unnested_loop_merge_array,0.009509,
500,15,original,0.011138,
